1483116710.65	34.2296478748
1483196234.29	35.405413866
1483200822.77	70.5968580246
1483200938.08	40.0923278332
1483201069.16	82.0696210861
1483201140.55	47.0861310959
1483201211.03	40.5311009884
1483201313.16	51.3612420559
1483201383.75	35.7691318989
1483201466.12	35.1338598728
1483201591.21	38.3130991459
1483201652.28	37.5258278847
1483204663.61	72.8557059765
1483204709.08	38.8509600163
1483204786.78	44.0072600842
1483204833.03	40.2416460514
1483204870.22	32.7925629616
1483204933.68	54.9682068825
1483204967.51	24.9748301506
1483205051.88	56.9733808041
1483205074.94	20.1524560452
1483205169.53	37.1356348991
1483205222.09	49.3325920105
1483555334.25	58.9086010456
